map,category,test_type,qn_category,gift_filename
,,,electronicsyscomp,08_electronicsyscomp.txt
,,,distribsys,08_distribsys.txt
,,Find-The-Missing Word,hybriddrivesys,027_hybrid_drive.txt
,,,electrics,166_ss_electrics.txt
,,,elecfundas,123_electrical_fundamentals.txt
,,,sourceselec,124_sources_of_elect.txt
,,,effectselec,125_effects_of_elect.txt
,,,circuitsmeasure,126_circuits_measurement.txt
,,,electestproc,127_elect_testing_procedures.txt
,,,electricalcomp,128_electrical_comp.txt
,,,wiresproc,129_wires_procedures.txt
,,,electronicscomp,130_electronic_comp.txt
,,,batteries,131_batteries.txt
,,,batteryproc,132_battery_procedures.txt
,,,charging,139_charging.txt
,,,alternatorconst,140_alternator_const.txt
,,,chargingproc,141_charging_procedures.txt
,,,starting,142_starting.txt
,,,startingproc,143_starting_procedures.txt
,,,lighting,144_lighting.txt
,,,typeslights,145_types_of_lights.txt
,,,lightingcircuits,146_lighting_circuits.txt
,,,lightingproc,147_lighting_procedures.txt
,,,securitysys,155_security_systems.txt
,,,electronics,167_ss_electronics.txt
,,,antilockbrakesyscomp,099_antilock_brakes.txt
,,,efioperation,069_efi_operation.txt
,,,ecu,070_elec_control_unit.txt
,,,efisensors,071_efi_sensors.txt
,,,dieseleleccontrol,068_diesel_elec_control.txt
,,,satellitesys,157_satellite_systems.txt
,,,safetysys,154_safety_systems.txt
,,,entertainmentsys,156_entertainment_systems.txt
,,,ignitionsys,133_ignition_sys.txt
,,,contactbreakerignition,134_contact_breaker_ign.txt
,,,contactbreakcomp,135_contact_breaker_comp.txt
,,,electronicsyscomp,136_elec_sys_comp.txt
,,,distribsys,137_distributorless_sys.txt
,,,ignitionproc,138_ignition_procedures.txt
,Engine & Transmission 1,Topic Group Test,clutches,07_clutches.txt
,,,clutchcomp,07_clutchcomponents.txt
,,,clutchmanualtransproc,07_clutchesmantransproc.txt
,,,enginecooling,11_enginecooling.txt
,,,coolingfundamentals,03_coolingfundamentals.txt
,,,coolingsys,03_coolingsystems.txt
,,,coolingsyscomp,03_coolsyscomp.txt
,,,coolsysproc,03_coolsysproc.txt
,,,driveconfig,01_driveconfig.txt
,,,basiclayouts,07_basiclayouts.txt
,,,finaldriveproc,07_finaldriveproc.txt
,,,altfuelsintro,04_altfuelsintro.txt
,,,biodiesel,04_biodiesel.txt
,,,gaseousfuels,04_gaseousfuels.txt
,,,altfuelsdev,04_altfuelsdev.txt
,,,creationemissions,04_creationemissions.txt
,,,typesemissions,04_typesemissions.txt
,,,emissioncontrol,04_emissioncontrol.txt
,,,obd,04_obd.txt
,,,emissionsproc,04_emissionsproc.txt
,,,exhaustsyscomp,04_exhaustsyscomp.txt
,,Find-The-Missing Word,clutches,101_clutches.txt
,,,clutchcomp,102_clutch_components.txt
,,,clutchesmanualproc,105_clutch_procedures.txt
,,,enginecooling,163_ss_engine_cooling.txt
,,,coolingfundamentals,047_cooling_systems.txt
,,,coolingsys,048_cooling_components.txt
,,,coolingsyscomp,046_cool_fundamentals.txt
,,,coolingsysproc,049_cooling_procedures.txt
,,,driveconfig,006_drive_config.txt
,,,basiclayouts,117_basic_layouts.txt
,,,finaldrivesproc,122_final_drive_procedures.txt
,,,altfuelsintro,169_altfuelsintro.txt
,,,biodiesel,171_biodiesel.txt
,,,gaseousfuels,172_gaseousfuels.txt
,,,altfuelsdev,170_altfuelsdev.txt
,,,creationemissions,072_creation_of_emissions.txt
,,,typesemissions,073_types_of_emissions.txt
,,,emissioncontrol,074_emission_control.txt
,,,obd,075_on-board_diagnostics.txt
,,,exhaustsyscomp,076_emissions_procedures.txt
,Engine & Transmission 2,Topic Group Test,enginelayouts,01_enginelayouts.txt
,,,enginecycles,11_enginecycles.txt
,,,enginecomp,11_enginecomp.txt
,,,engines,11_engines.txt
,,,infotools,11_infotools.txt
,,,bodydesigns,01_bodydesigns.txt
,,,motivepowerfundas,03_motivepowerfundprinc.txt
,,,4stroke,03_4strokesparkig.txt
,,,2stroke,03_2strokesparkig.txt
,,,sparkignitioncomp,03_sparkigengcomp.txt
,,,rotarycomp,03_rotaryengcomp.txt
,,,altenginecyles,03_altenginecycles.txt
,,,compressionignition,03_compressionignition.txt
,,,compressionignitioncomp,03_compressionignitioncomp.txt
,,,enginecharacteristics,03_enginecharacteristics.txt
,,,cylinderblocks,03_cylinderblocks.txt
,,,cylinderheads,03_cylinderheads.txt
,,,valvetrains,03_valvesvalvetrains.txt
,,,camshafts,03_camshaftsdrives.txt
,,,pistons,03_pistons.txt
,,,crankshaftassemblies,03_crankshaftassemblies.txt
,,,enginecompproc,03_enginecompproc.txt
,,,introrebuild,03_introenginerebuilding.txt
,,,removeengine,03_removingengine.txt
,,,enginedisassembly,03_engdisassembly.txt
,,,enginemachining,03_enginemachining.txt
,,,enginepreassembly,03_enginepreassembly.txt
,,,enginefinalassembly,03_enginefinalassembly.txt
,,,enginereinstall,03_enginereinstalling.txt
,,,enginestartup,03_enginestartup.txt
,,,oil,03_oil.txt
,,,lubesystems,03_lubricationsys.txt
,,,lubesyscomp,03_lubricationsyscomp.txt
,,,lubesysproc,03_lubricationproc.txt
,,Find-The-Missing Word,enginelayouts,004_engine_layouts.txt
,,,enginecycles,161_ss_engine_cycles.txt
,,,enginecomp,162_ss_engine_components.txt
,,,engines,160_ss_engines.txt
,,,infotools,159_ss_information_tools.txt
,,,bodydesigns,005_body_designs.txt
,,,motivepowerfundas,021_motive_fundamentals.txt
,,,4stroke,022_4-stroke_engines.txt
,,,2stroke,023_2-stroke_engines.txt
,,,sparkignitioncomp,024_spark-ignition_comp.txt
,,,rotarycomp,025_rotary.txt
,,,altenginecyles,026_alternative_cycles.txt
,,,compressionignition,028_compression_engines.txt
,,,compressionignitioncomp,029_compression_comp.txt
,,,enginecharacteristics,030_engine_characteristics.txt
,,,cylinderblocks,031_cyl_blocks.txt
,,,cylinderheads,032_cyl_heads.txt
,,,valvetrains,033_valves.txt
,,,camshafts,034_camshafts.txt
,,,pistons,035_pistons.txt
,,,crankshaftassemblies,036_crankshaft_assemb.txt
,,,enginecompproc,037_engine_proc.txt
,,,introrebuild,038_eng_rebuilding.txt
,,,removeengine,039_remove_engine.txt
,,,enginedisassembly,040_engine_disassembly.txt
,,,enginemachining,041_engine_machining.txt
,,,enginepreassembly,042_engine_preassembly.txt
,,,enginefinalassembly,043_engine_final_assembly.txt
,,,enginereinstall,044_engine_reinstalling.txt
,,,enginestartup,045_engine_startup.txt
,,,oil,050_oil.txt
,,,lubesystems,051_lub_systems.txt
,,,lubesyscomp,052_lub_components.txt
,,,lubeproc,053_lub_procedures.txt
,Engine & Transmission 3,Topic Group Test,frontwheeldrive,07_frontwhldrive.txt
,,,rearwheeldrive,07_rearwhldrive.txt
,,,fourwheeldrive,07_fourwhldrivept.txt
,,,allwheeldrive,07_allwheeldrives.txt
,,,intakesyscomp,04_intakesystemcomp.txt
,,,dieselfuelsys,04_diesfuelsys.txt
,,,dieselfuelsyscomp,04_diesfuelsyscomp.txt
,,,intakeexhaustsys,04_intakeexhaustsys.txt
,,,fuelsystems,11_fuelsystems.txt
,,,gasfuelsysprinc,04_gasfuelsysprinc.txt
,,,carbop,04_carbop.txt
,,,carbsyscomp,04_carbsyscomp.txt
,,,efiprinciples,04_efifuelsysprinc.txt
,,,eficomp,04_efifuelsyscomp.txt
,,,fuelsysproc,04_fuelsysproc.txt
,,,torqueconverters,07_torqueconverters.txt
,,,planetarygearing,07_planetarygear.txt
,,,electronictrans,07_ect.txt
,,,layoutop,07_layoutoperation.txt
,,,servosclutches,07_servosclutches.txt
,,,hydraulicsyscontrols,07_hydraulicsyscontrols.txt
,,,valvetypes,07_valvetypesfunctions.txt
,,,pressureregulation,07_pressurereg.txt
,,,flowcontrol,07_flowcontrol.txt
,,,cvt,07_cvt.txt
,,,autotransproc,07_autotransproc.txt
,,,manualtrans,07_manualtrans.txt
,,,gearboxlayoutop,07_gearboxlayoutop.txt
,,Find-The-Missing Word,frontwheeldrive,118_front-wheel_drive.txt
,,,rearwheeldrive,119_rear-wheel_drive.txt
,,,fourwheeldrive,120_four-wheel_drive.txt
,,,allwheeldrive,121_all-wheel_drive.txt
,,,intakesyscomp,055_intake_comp.txt
,,,dieselfuelsys,066_diesel_fuel_sys.txt
,,,dieselfuelsyscomp,067_diesel_components.txt
,,,intakeexhaustsys,054_intake_exhaust_sys.txt
,,,fuelsystems,164_ss_fuel_systems.txt
,,,gasfuelsysprinc,060_gasoline_principles.txt
,,,carbop,061_carburetor_op.txt
,,,carbsyscomp,062_carbureted_comp.txt
,,,efiprinciples,063_efi_principles.txt
,,,eficomp,064_efi_components.txt
,,,fuelsysproc,065_fuel_procedures.txt
,,,torqueconverters,106_torque_converters.txt
,,,planetarygearing,107_planetary_gearing.txt
,,,electronictrans,108_elec_control_trans.txt
,,,layoutop,109_layout_operation.txt
,,,servosclutches,110_servos_clutches.txt
,,,hydraulicsyscontrols,111_hydraulic_sys_cntrls.txt
,,,valvetypes,112_valve_types.txt
,,,pressureregulation,113_pressure_regulation.txt
,,,flowcontrol,114_flow_control.txt
,,,cvt,115_cvt.txt
,,,autotransproc,116_auto_trans_procedures.txt
,,,manualtrans,103_man_transmissions.txt
,,,gearboxlayoutop,104_gearbox_layout.txt
,General Mechanical,Topic Group Test,hvacbasicprinc,09_hvacbasicprinc.txt
,,,fixedorifice,09_fixedorificeaircon.txt
,,,thermalexpansion,09_thermalaircon.txt
,,,airconcomp,09_airconcomp.txt
,,,climatecontrol,09_climatecontrol.txt
,,,hvacproc,09_hvacproc.txt
,,,basictoolprep,02_basictoolprep.txt
,,,toolsequipfundas,02_toolequipfund.txt
,,,powertools,02_powertools.txt
,,,useelecpowertools,02_useelecpowertools.txt
,,,useairpowertools,02_useairpowertools.txt
,,,commonworkshoptools,02_commworkshoptools.txt
,,,autotools,02_automotivetools.txt
,,,additionaltools,02_additionaltools.txt
,,,usenonpoweredtools,02_usenonpowertools.txt
,,,diagnosticequip,02_diagnosticequip.txt
,,,liftingequip,02_liftingequip.txt
,,,useworkshopequip,02_useworkequip.txt
,,,infoproc,01_infoproc.txt
,,,vehinspectproc,01_vehinspecproc.txt
,,,intakesysproc,04_intakesysproc.txt
,,,usemeasuretools,02_usemeasuretools.txt
,,,unitsofmeasure,11_uom.txt
,,Find-The-Missing Word,hvacbasicprinc,148_hvac_basic_principles.txt
,,,fixedorifice,153_hvac_procedures.txt
,,,thermalexpansion,149_fixed_orifice.txt
,,,airconcomp,150_thermal_expansion.txt
,,,climatecontrol,151_air-con_components.txt
,,,hvacproc,152_climate_control.txt
,,,basictoolprep,008_basic_tool_prep.txt
,,,toolsequipfundas,009_tool_fundamentals.txt
,,,powertools,010_power_tools.txt
,,,useelecpowertools,011_electric_power_tools.txt
,,,useairpowertools,012_air_power_tools.txt
,,,commonworkshoptools,013_common_tools.txt
,,,autotools,014_automotive_tools.txt
,,,additionaltools,015_additional_tools.txt
,,,usingnonpoweredtools,016_non-powered_tools.txt
,,,diagnosticequip,018_diagnostic_equip.txt
,,,liftingequip,019_lifting_equip.txt
,,,useworkshopequip,020_using_workshop_equip.txt
,,,infoproc,003_information_proc.txt
,,,vehinspectproc,007_vehicle_inspection_proc.txt
,,,intakesysproc,057_intake_procedure.txt
,,,usemeasuretools,017_measuring_tools.txt
,,,unitsofmeasure,158_ss_units_of_measure.txt
,Management & Admin,Topic Group Test,activelisten,11_activelistening.txt
,,,artspeaking,11_artofspeaking.txt
,,,peopleskills,11_peopleskills.txt
,,,effectiveread,11_effectivereading.txt
,,,writing,11_writingatwork.txt
,,,researching,11_researching.txt
,,,hazemerg,01_hazemerg.txt
,,,perspropsafety,01_perspropsafety.txt
,,Find-The-Missing Word,communication,168_communication.txt
,,,hazemerg,001_hazards.txt
,,,perspropsafety,002_personal_safety.txt
,Steering & Suspension,Topic Group Test,steeringprinc,05_steerprinc.txt
,,,steerboxes,05_steerboxescolumns.txt
,,,steeringarms,05_steerarmscomps.txt
,,,steersysproc,05_steersysproc.txt
,,,suspensionfundas,05_suspfundpric.txt
,,,suspensiontypes,05_typesofsusp.txt
,,,springtypes,05_typesofsprings.txt
,,,shocktypes,05_shockabsorbertypes.txt
,,,frontsusptypes,05_frontsusptypescomp.txt
,,,rearsusptypes,05_rearsusptypescomp.txt
,,,suspsyslayouts,05_suspsyslayouts.txt
,,,suspsysproc,05_suspsysproc.txt
,,Find-The-Missing Word,steeringprinc,077_steering_princ.txt
,,,steerboxes,078_steering_boxes.txt
,,,steeringarms,079_steering_arms.txt
,,,steersysproc,080_steering_procedures.txt
,,,suspensionfundas,081_susp_principles.txt
,,,suspensiontypes,082_types_of_suspn.txt
,,,springtypes,083_types_of_springs.txt
,,,shocktypes,084_shock_absorber_types.txt
,,,frontsusptypes,085_front_susp.txt
,,,rearsusptypes,086_rear_susp.txt
,,,suspsyslayouts,087_susp_layouts.txt
,,,suspsysproc,088_susp_procedures.txt
,Tyres & Wheels,Topic Group Test,wheeltypes,05_wheeltypessizes.txt
,,,tiretypes,05_tiretypescharac.txt
,,,tireconstruction,05_tireconstruct.txt
,,,wheelstiresproc,05_wheelstiresproc.txt
,,,wheelalign,05_wheelalignfund.txt
,,Find-The-Missing Word,wheeltypes,089_wheel_types.txt
,,,tiretypes,090_tire_types.txt
,,,tireconstruction,091_tire_construction.txt
,,,wheelstiresproc,093_wheels_procedure.txt
,,,wheelalign,092_wheel_alignment.txt
